Probeset_ID,Gene Symbol,CLP,Sample_,Sample_,Sample_
1415670_at,Copg,8.95,9.00,8.81,9.03
1415671_at,Atp6v0d1,10.45,10.37,10.33,10.65
1415672_at,Golga7,11.21,11.17,11.20,11.25
1415673_at,Psph,8.80,8.60,8.94,8.85
1415674_a_at,Trappc4,8.85,8.68,8.86,9.00
1415675_at,Dpm2,8.80,8.70,8.86,8.83
1415676_a_at,Psmb5,11.48,11.45,11.35,11.65
1415677_at,Dhrs1,8.57,8.61,8.48,8.62
1415678_at,Ppm1a,10.38,10.32,10.41,10.41
1415679_at,Psenen,10.88,10.85,10.80,10.98
1415680_at,Anapc1,10.00,9.98,10.06,9.96
1415681_at,Mrpl43,9.72,9.34,9.95,9.85
1415682_at,Xpo7,8.44,8.80,8.15,8.36
1415683_at,Nmt1,10.70,10.60,10.80,10.70
1415684_at,Atg5,8.62,8.43,8.69,8.75
1415685_at,Mtif2,8.80,8.87,8.78,8.74
1415686_at,Rab14,9.45,9.55,9.39,9.40
1415687_a_at,Psap,10.45,10.68,10.11,10.58
1415688_at,Ube2g1,10.55,10.35,10.67,10.64
1415689_s_at,Zkscan3,9.77,9.82,9.78,9.70
1415690_at,Mrpl27,9.65,9.45,9.60,9.91
1415691_at,Dlg1,9.67,9.81,9.59,9.62
1415692_s_at,Canx,12.29,12.31,12.22,12.35
1415693_at,Derl1,8.62,8.70,8.45,8.70
1415694_at,Wars,7.88,8.01,7.70,7.92
1415695_at,Psma1,11.12,11.20,10.93,11.23
1415696_at,Sar1a,10.13,10.19,10.02,10.17
1415697_at,G3bp2,10.32,10.20,10.30,10.46
1415698_at,Golm1,9.55,9.42,9.53,9.68
1415699_a_at,Gps1,11.45,11.19,11.58,11.57
1415700_a_at,Ssr3,11.50,11.44,11.49,11.59
1415701_x_at,Rpl23,13.72,13.74,13.74,13.67
1415702_a_at,Ctbp1,11.90,11.90,11.96,11.83
1415703_at,Huwe1,9.84,10.01,10.01,9.51
1415704_a_at,Cdv3,11.01,11.09,10.95,10.99
1415705_at,9130011J15Rik,9.31,9.41,9.23,9.28
1415706_at,Copa,11.88,11.98,11.80,11.86
1415707_at,Anapc2,9.64,9.70,9.63,9.59
1415708_at,Tug1,10.83,10.86,10.97,10.67
1415709_s_at,Gbf1,8.75,8.80,8.97,8.48
1415710_at,Cox18,9.47,9.40,9.45,9.56
1415711_at,Arfgef1,9.97,10.09,9.78,10.05
1415712_at,Zranb1,7.97,8.02,8.25,7.64
1415713_a_at,Ddx24,9.85,9.86,9.86,9.81
1415714_a_at,Snrnp27,8.65,8.50,8.73,8.72
1415715_at,Tmem129,8.71,8.58,8.75,8.79
1415716_a_at,Gm9846 or Rps27,13.44,13.40,13.54,13.39
1415717_at,Rnf220,8.82,9.01,8.45,8.99
1415718_at,Sap30l,9.61,9.54,9.78,9.52
1415719_s_at,Armc1,9.40,9.42,9.32,9.47
1415720_s_at,Mad2l1bp,8.40,8.47,8.03,8.71
1415721_a_at,Nat15,9.11,9.06,9.13,9.14
1415722_a_at,Vta1,9.70,9.60,9.71,9.78
1415723_at,Eif5,11.81,11.83,11.82,11.76
1415724_a_at,Cdc42,10.88,11.09,10.71,10.85
1415725_at,Rrn3,8.92,8.98,8.87,8.90
1415726_at,Ankrd17,9.82,9.91,9.98,9.57
1415727_at,Apoa1bp,10.31,10.35,10.26,10.32
1415728_at,Pabpn1,8.34,8.47,8.29,8.25
1415729_at,Pdpk1,9.13,9.34,9.08,8.98
1415730_at,Cpsf7,9.95,9.92,10.16,9.77
1415731_at,Angel2,8.59,8.49,8.62,8.67
1415732_at,Bat5,8.88,8.91,8.71,9.03
1415733_a_at,Tomm5,10.57,10.30,10.71,10.70
1415734_at,Rab7,11.15,11.14,11.09,11.22
1415735_at,Ddb1,10.89,10.94,10.90,10.83
1415736_at,Pfdn5,9.56,9.49,9.40,9.79
1415737_at,Rfk,10.07,10.23,10.00,9.98
1415738_at,Txndc12,9.26,9.27,9.39,9.11
1415739_at,Rbm42,9.84,9.72,9.99,9.79
1415740_at,Psmc5,9.72,9.97,9.46,9.71
1415741_at,Tmem165,10.72,10.73,10.67,10.75
1415742_at,Aup1,8.69,8.81,8.43,8.83
1415743_at,Hdac5,9.03,9.16,8.85,9.08
1415744_at,H2-Ke2,10.52,10.59,10.36,10.62
1415745_a_at,Dscr3,10.35,10.39,10.25,10.42
1415746_at,Cic,9.22,9.33,9.48,8.85
1415747_s_at,Riok3,10.75,10.79,10.80,10.65
1415748_a_at,Dctn5,8.47,8.62,8.26,8.51
1415749_a_at,Rragc,9.96,9.98,10.01,9.90
1415750_at,Tbl3,8.28,8.33,8.21,8.30
1415751_at,Hp1bp3,12.00,12.03,12.13,11.84
1415752_at,BC031181,10.28,10.31,10.07,10.45
1415753_at,Fam108a,10.66,10.42,10.82,10.73
1415754_at,Polr2f,9.41,9.32,9.39,9.51
1415755_a_at,Ube2v1,10.53,10.66,10.39,10.54
1415756_a_at,Snapin,9.03,9.06,9.00,9.03
1415757_at,Gbf1,7.61,7.74,7.47,7.62
1415758_at,Fryl,9.85,9.94,9.93,9.67
1415759_a_at,Hbxip,10.17,10.12,10.11,10.27
1415760_s_at,Atox1,9.19,9.15,9.16,9.28
1415761_at,Mrpl52,8.41,8.43,8.40,8.40
