Probeset_ID,Gene Symbol,Flk2n_MPP,Sample_,Sample_,Sample_,Sample_,Sample_
1415670_at,Copg,8.27,8.7,8.3,8.25,8.08,8.03
1415671_at,Atp6v0d1,9.81,9.93,9.84,9.82,9.84,9.64
1415672_at,Golga7,11.08,11.11,10.93,11.04,11.13,11.2
1415673_at,Psph,8.69,9.12,8.68,8.41,8.74,8.48
1415674_a_at,Trappc4,8.97,9.05,9.03,8.94,8.96,8.88
1415675_at,Dpm2,8.9,8.77,9.17,8.83,8.9,8.83
1415676_a_at,Psmb5,11.19,11.1,11.34,11.22,11.03,11.26
1415677_at,Dhrs1,8.06,8.35,7.96,7.83,8.12,8.04
1415678_at,Ppm1a,10.52,10.46,10.59,10.55,10.55,10.45
1415679_at,Psenen,11.05,11.04,11.14,11.16,11.06,10.86
1415680_at,Anapc1,9.74,9.7,9.81,9.96,9.57,9.66
1415681_at,Mrpl43,9.31,8.84,9.47,9.4,9.49,9.35
1415682_at,Xpo7,7.86,8.28,7.71,7.89,7.71,7.69
1415683_at,Nmt1,10.91,10.73,11.03,10.86,10.98,10.95
1415684_at,Atg5,7.68,8.14,7.56,7.47,7.56,7.65
1415685_at,Mtif2,9.02,9.23,8.95,8.94,8.89,9.08
1415686_at,Rab14,9.76,9.76,9.72,9.72,9.82,9.79
1415687_a_at,Psap,9.18,9.42,9.3,9.02,8.89,9.25
1415688_at,Ube2g1,10.43,10.55,10.37,10.44,10.37,10.43
1415689_s_at,Zkscan3,9.03,9.24,8.95,9.09,8.89,8.96
1415690_at,Mrpl27,9.75,9.32,10.11,9.78,9.74,9.83
1415691_at,Dlg1,10.14,10.26,10.29,10.03,10.04,10.11
1415692_s_at,Canx,11.92,12.06,11.81,11.88,11.91,11.95
1415693_at,Derl1,8.41,8.65,8.32,8.34,8.38,8.36
1415694_at,Wars,7.41,7.58,7.36,7.55,7.24,7.32
1415695_at,Psma1,11.05,11.3,10.99,10.97,10.99,11.02
1415696_at,Sar1a,10.2,10.12,10.24,10.26,10.17,10.2
1415697_at,G3bp2,9.46,9.18,9.67,9.49,9.5,9.44
1415698_at,Golm1,8.39,8.27,8.46,8.61,8.17,8.44
1415699_a_at,Gps1,11.47,11.11,11.69,11.6,11.47,11.47
1415700_a_at,Ssr3,11.41,11.7,11.25,11.35,11.29,11.45
1415701_x_at,Rpl23,13.83,13.88,13.84,13.78,13.85,13.82
1415702_a_at,Ctbp1,11.47,11.26,11.4,11.56,11.54,11.57
1415703_at,Huwe1,9.67,9.43,9.71,9.85,9.54,9.8
1415704_a_at,Cdv3,10.23,10.29,10.3,10.14,10.28,10.15
1415705_at,9130011J15Rik,9.26,9.36,9.26,9.23,9.38,9.07
1415706_at,Copa,11.53,11.5,11.44,11.7,11.56,11.43
1415707_at,Anapc2,9.64,9.46,9.74,9.62,9.62,9.75
1415708_at,Tug1,10.76,10.79,10.74,10.73,10.87,10.68
1415709_s_at,Gbf1,7.9,7.89,7.81,7.99,7.93,7.9
1415710_at,Cox18,9.15,9.17,9.24,8.95,9.23,9.17
1415711_at,Arfgef1,10.11,10.27,10.12,10.06,9.87,10.21
1415712_at,Zranb1,8.54,8.15,8.72,8.64,8.75,8.42
1415713_a_at,Ddx24,9.59,9.49,9.58,9.64,9.6,9.62
1415714_a_at,Snrnp27,8.71,8.59,8.87,8.7,8.95,8.45
1415715_at,Tmem129,8.53,8.53,8.53,8.64,8.52,8.42
1415716_a_at,Gm9846 or Rps27,13.48,13.24,13.59,13.5,13.57,13.5
1415717_at,Rnf220,8.3,8.45,8.36,8.27,8.15,8.26
1415718_at,Sap30l,9.95,9.82,10.06,9.88,10.04,9.94
1415719_s_at,Armc1,9.09,9.09,9.08,9.12,8.96,9.23
1415720_s_at,Mad2l1bp,8.02,8.02,8.26,7.82,8.03,7.97
1415721_a_at,Nat15,8.82,8.78,8.95,8.74,8.89,8.75
1415722_a_at,Vta1,9.94,9.94,10.09,10,9.84,9.85
1415723_at,Eif5,12.25,12.44,12.13,12.27,12.23,12.16
1415724_a_at,Cdc42,11,11.18,10.76,11.03,11.03,11.01
1415725_at,Rrn3,8.55,8.56,8.49,8.55,8.65,8.51
1415726_at,Ankrd17,10.08,10.11,9.92,10.17,9.95,10.25
1415727_at,Apoa1bp,10.53,10.61,10.5,10.52,10.6,10.41
1415728_at,Pabpn1,6.03,6.41,6.07,5.98,5.62,6.05
1415729_at,Pdpk1,8.69,8.85,8.77,8.73,8.57,8.54
1415730_at,Cpsf7,10.34,10.38,10.31,10.36,10.27,10.38
1415731_at,Angel2,8.56,8.6,8.73,8.65,8.47,8.35
1415732_at,Bat5,8.79,8.86,8.76,8.66,8.76,8.93
1415733_a_at,Tomm5,10.62,10.39,10.82,10.54,10.75,10.59
1415734_at,Rab7,11.13,11.26,11.16,11.12,11.11,10.99
1415735_at,Ddb1,10.13,9.9,10.11,10.18,10.26,10.2
