Probeset_ID,Gene Symbol,Flk2p_MPP,Sample_,Sample_,Sample_
1415670_at,Copg,9.11,9.16,9.02,9.15
1415671_at,Atp6v0d1,10.18,10.19,10.46,9.89
1415672_at,Golga7,11.25,11.3,11.07,11.37
1415673_at,Psph,8.83,8.62,8.8,9.09
1415674_a_at,Trappc4,8.84,8.74,8.89,8.89
1415675_at,Dpm2,8.93,8.74,8.93,9.12
1415676_a_at,Psmb5,11.36,11.4,11.48,11.2
1415677_at,Dhrs1,8.57,8.63,8.86,8.23
1415678_at,Ppm1a,10.34,10.41,10.36,10.24
1415679_at,Psenen,10.88,10.96,10.94,10.74
1415680_at,Anapc1,9.98,10.11,9.85,9.98
1415681_at,Mrpl43,9.67,9.31,9.56,10.15
1415682_at,Xpo7,8.26,8.52,8.33,7.93
1415683_at,Nmt1,10.75,10.5,10.65,11.1
1415684_at,Atg5,8.67,8.56,8.63,8.82
1415685_at,Mtif2,8.81,8.62,8.53,9.27
1415686_at,Rab14,9.43,9.53,9.46,9.3
1415687_a_at,Psap,10.2,10.49,10.4,9.72
1415688_at,Ube2g1,10.4,10.46,10.4,10.34
1415689_s_at,Zkscan3,9.61,9.75,9.67,9.4
1415690_at,Mrpl27,9.5,9.48,9.46,9.55
1415691_at,Dlg1,9.68,9.9,9.62,9.52
1415692_s_at,Canx,12.32,12.32,12.21,12.41
1415693_at,Derl1,8.45,8.58,8.68,8.09
1415694_at,Wars,8.01,7.92,8.03,8.08
1415695_at,Psma1,11.05,11.22,10.96,10.98
1415696_at,Sar1a,10.04,10.17,10.13,9.83
1415697_at,G3bp2,9.83,9.89,9.78,9.82
1415698_at,Golm1,8.78,8.66,8.85,8.83
1415699_a_at,Gps1,11.58,11.36,11.47,11.92
1415700_a_at,Ssr3,11.26,11.53,11.27,10.99
1415701_x_at,Rpl23,13.79,13.82,13.82,13.73
1415702_a_at,Ctbp1,11.84,11.93,11.88,11.73
1415703_at,Huwe1,9.88,10,9.65,9.98
1415704_a_at,Cdv3,10.28,10.2,10.05,10.59
1415705_at,9130011J15Rik,9.39,9.56,9.41,9.22
1415706_at,Copa,11.96,12.09,12.04,11.75
1415707_at,Anapc2,9.85,9.87,9.81,9.86
1415708_at,Tug1,10.55,10.61,10.38,10.65
1415709_s_at,Gbf1,8.77,8.6,8.75,8.96
1415710_at,Cox18,9.49,9.45,9.29,9.71
1415711_at,Arfgef1,10.18,10.44,10.27,9.83
1415712_at,Zranb1,8.14,8.07,7.72,8.62
1415713_a_at,Ddx24,9.87,9.75,9.76,10.1
1415714_a_at,Snrnp27,8.58,8.36,8.42,8.95
1415715_at,Tmem129,8.78,8.72,8.66,8.97
1415716_a_at,Gm9846 or Rps27,13.48,13.47,13.5,13.47
1415717_at,Rnf220,8.79,8.64,9.1,8.64
1415718_at,Sap30l,9.76,9.65,9.61,10.02
1415719_s_at,Armc1,9.36,9.36,9.31,9.4
1415720_s_at,Mad2l1bp,8.25,8.3,8.4,8.05
1415721_a_at,Nat15,9.26,9.12,9.3,9.37
1415722_a_at,Vta1,9.81,9.74,9.68,10.01
1415723_at,Eif5,11.79,11.93,11.62,11.8
1415724_a_at,Cdc42,10.91,11.06,11.07,10.61
1415725_at,Rrn3,8.9,8.93,8.8,8.96
1415726_at,Ankrd17,10.02,9.92,9.91,10.23
1415727_at,Apoa1bp,10.47,10.45,10.51,10.46
1415728_at,Pabpn1,8,8.51,8.07,7.42
1415729_at,Pdpk1,8.77,8.96,8.93,8.43
1415730_at,Cpsf7,9.98,9.97,9.92,10.05
1415731_at,Angel2,8.41,8.48,8.23,8.52
1415732_at,Bat5,9.02,9.11,9.33,8.63
1415733_a_at,Tomm5,10.52,10.18,10.14,11.24
1415734_at,Rab7,11.13,11.22,11.32,10.87
1415735_at,Ddb1,10.82,10.92,10.97,10.57
1415736_at,Pfdn5,9.69,9.65,9.6,9.82
1415737_at,Rfk,10.12,10.4,10.21,9.76
1415738_at,Txndc12,9.24,9.41,9.11,9.19
1415739_at,Rbm42,9.9,9.79,9.93,9.99
1415740_at,Psmc5,9.6,9.59,9.53,9.68
1415741_at,Tmem165,10.76,10.79,10.7,10.78
1415742_at,Aup1,8.73,8.68,8.77,8.73
1415743_at,Hdac5,8.71,9.03,9.04,8.04
1415744_at,H2-Ke2,10.39,10.36,10.38,10.44
1415745_a_at,Dscr3,10.3,10.45,10.39,10.05
1415746_at,Cic,9.57,9.64,9.51,9.57
1415747_s_at,Riok3,10.8,10.9,10.57,10.94
1415748_a_at,Dctn5,8.64,8.46,8.71,8.76
1415749_a_at,Rragc,10.07,10.11,9.98,10.12
1415750_at,Tbl3,8.29,8.23,8.19,8.45
1415751_at,Hp1bp3,11.72,11.83,11.69,11.63
1415752_at,BC031181,10.21,10.17,10.36,10.11
1415753_at,Fam108a,10.41,10.16,10.41,10.64
1415754_at,Polr2f,9.34,9.35,9.33,9.34
1415755_a_at,Ube2v1,10.55,10.71,10.66,10.27
