Probeset_ID,Gene Symbol,MEP,Sample_,Sample_,Sample_
1415670_at,Copg,9.21,9.22,9.22,9.20
1415671_at,Atp6v0d1,9.79,9.78,9.74,9.85
1415672_at,Golga7,10.83,10.85,10.92,10.73
1415673_at,Psph,7.94,7.93,7.83,8.06
1415674_a_at,Trappc4,8.90,8.93,8.76,9.00
1415675_at,Dpm2,9.16,9.29,9.06,9.13
1415676_a_at,Psmb5,11.89,11.98,11.82,11.88
1415677_at,Dhrs1,8.20,8.26,8.23,8.11
1415678_at,Ppm1a,10.41,10.33,10.44,10.47
1415679_at,Psenen,10.46,10.56,10.41,10.42
1415680_at,Anapc1,10.68,10.79,10.61,10.65
1415681_at,Mrpl43,8.50,8.61,8.39,8.50
1415682_at,Xpo7,6.52,6.49,6.78,6.29
1415683_at,Nmt1,10.94,10.93,10.97,10.91
1415684_at,Atg5,8.25,8.05,8.31,8.37
1415685_at,Mtif2,9.58,9.54,9.71,9.48
1415686_at,Rab14,9.58,9.69,9.55,9.50
1415687_a_at,Psap,10.38,10.51,10.29,10.33
1415688_at,Ube2g1,10.29,10.27,10.28,10.33
1415689_s_at,Zkscan3,9.66,9.82,9.67,9.49
1415690_at,Mrpl27,9.54,9.57,9.46,9.60
1415691_at,Dlg1,9.58,9.58,9.56,9.59
1415692_s_at,Canx,12.96,12.84,13.11,12.92
1415693_at,Derl1,10.05,10.05,9.96,10.14
1415694_at,Wars,9.03,9.11,8.94,9.04
1415695_at,Psma1,11.33,11.29,11.34,11.35
1415696_at,Sar1a,10.81,10.85,10.73,10.86
1415697_at,G3bp2,9.86,9.83,9.84,9.92
1415698_at,Golm1,10.16,10.09,10.27,10.13
1415699_a_at,Gps1,11.13,11.13,11.07,11.19
1415700_a_at,Ssr3,11.45,11.48,11.45,11.43
1415701_x_at,Rpl23,13.20,13.25,13.10,13.25
1415702_a_at,Ctbp1,12.08,12.06,12.08,12.10
1415703_at,Huwe1,9.42,9.29,9.51,9.46
1415704_a_at,Cdv3,10.75,10.73,10.79,10.74
1415705_at,9130011J15Rik,9.29,9.30,9.30,9.27
1415706_at,Copa,10.93,10.91,10.94,10.94
1415707_at,Anapc2,9.61,9.58,9.64,9.62
1415708_at,Tug1,9.90,9.83,9.92,9.96
1415709_s_at,Gbf1,7.73,7.84,7.77,7.58
1415710_at,Cox18,9.28,9.32,9.24,9.28
1415711_at,Arfgef1,10.17,10.25,10.14,10.12
1415712_at,Zranb1,6.83,6.55,6.98,6.97
1415713_a_at,Ddx24,9.77,9.72,9.80,9.78
1415714_a_at,Snrnp27,7.99,8.10,7.90,7.98
1415715_at,Tmem129,8.10,8.00,8.13,8.15
1415716_a_at,Gm9846 or Rps27,12.35,12.29,12.35,12.42
1415717_at,Rnf220,9.11,9.14,9.05,9.15
1415718_at,Sap30l,7.70,7.60,7.76,7.75
1415719_s_at,Armc1,9.54,9.52,9.51,9.61
1415720_s_at,Mad2l1bp,8.49,8.47,8.40,8.59
1415721_a_at,Nat15,8.14,8.07,8.09,8.24
1415722_a_at,Vta1,10.50,10.54,10.45,10.50
1415723_at,Eif5,12.28,12.31,12.30,12.24
1415724_a_at,Cdc42,11.76,11.78,11.77,11.73
1415725_at,Rrn3,9.44,9.30,9.52,9.50
1415726_at,Ankrd17,8.99,8.79,9.17,9.02
1415727_at,Apoa1bp,9.86,9.89,9.79,9.89
1415728_at,Pabpn1,8.69,8.61,8.66,8.79
1415729_at,Pdpk1,9.25,9.29,9.27,9.17
1415730_at,Cpsf7,9.54,9.63,9.51,9.47
1415731_at,Angel2,8.13,8.11,8.23,8.06
1415732_at,Bat5,10.08,10.13,9.93,10.17
1415733_a_at,Tomm5,10.45,10.68,10.27,10.38
1415734_at,Rab7,11.28,11.15,11.41,11.27
1415735_at,Ddb1,11.13,11.00,11.18,11.19
1415736_at,Pfdn5,8.24,8.67,7.84,8.21
1415737_at,Rfk,10.68,10.68,10.80,10.57
1415738_at,Txndc12,7.53,7.23,7.73,7.63
1415739_at,Rbm42,9.24,9.35,9.17,9.21
1415740_at,Psmc5,10.83,10.89,10.81,10.80
1415741_at,Tmem165,10.77,10.78,10.80,10.71
1415742_at,Aup1,9.58,9.61,9.51,9.61
1415743_at,Hdac5,7.32,7.23,7.33,7.39
1415744_at,H2-Ke2,11.43,11.50,11.30,11.48
1415745_a_at,Dscr3,9.49,9.40,9.56,9.52
1415746_at,Cic,8.70,8.81,8.71,8.60
1415747_s_at,Riok3,10.56,10.52,10.70,10.45
1415748_a_at,Dctn5,9.10,9.14,9.11,9.04
1415749_a_at,Rragc,10.19,10.18,10.14,10.23
1415750_at,Tbl3,9.13,9.05,9.26,9.09
1415751_at,Hp1bp3,10.54,10.43,10.62,10.57
1415752_at,BC031181,9.93,10.06,9.83,9.91
1415753_at,Fam108a,9.41,9.45,9.28,9.50
1415754_at,Polr2f,10.17,10.23,10.06,10.23
1415755_a_at,Ube2v1,11.31,11.22,11.36,11.36
1415756_a_at,Snapin,9.08,9.10,9.11,9.03
1415757_at,Gbf1,7.09,7.12,7.08,7.07
1415758_at,Fryl,9.02,9.07,8.99,9.00
1415759_a_at,Hbxip,9.98,10.14,9.89,9.91
1415760_s_at,Atox1,9.70,9.70,9.63,9.78
1415761_at,Mrpl52,9.44,9.47,9.45,9.40
1415762_x_at,Mrpl52,9.51,9.47,9.52,9.55
1415763_a_at,2510006D16Rik or LOC100505293,10.72,10.69,10.65,10.81
1415764_at,Zc3h11a,10.72,10.76,10.79,10.60
1415765_at,Hnrnpul2,8.85,9.05,8.63,8.86
1415766_at,Sec22b,8.09,7.95,8.15,8.16
1415767_at,Ythdf1,11.29,11.38,11.28,11.20
1415768_a_at,Ube2r2,8.45,8.37,8.52,8.45
1415769_at,Itch,9.38,9.26,9.43,9.45
1415770_at,Wdr6,9.10,9.06,9.13,9.11
1415771_at,Ncl,12.71,12.63,12.76,12.73
1415772_at,Ncl,9.56,9.69,9.49,9.50
1415773_at,Ncl,10.10,10.08,10.10,10.13
1415774_at,Elp2,8.78,8.72,8.83,8.79
1415775_at,Rbbp7,12.69,12.71,12.70,12.66
1415776_at,Aldh3a2,6.54,6.48,6.55,6.58
1415777_at,Pnliprp1,4.14,4.05,3.99,4.37
1415778_at,Morf4l2,11.88,11.93,11.85,11.86
1415779_s_at,Actg1,12.42,12.54,12.31,12.40
1415780_a_at,Armcx2,8.75,8.63,8.74,8.88
1415781_a_at,Gm13430 or Sumo2,13.39,13.32,13.43,13.42
1415782_at,Sumo2,12.06,11.97,12.17,12.05
1415783_at,Vps35,11.20,11.17,11.15,11.28
1415784_at,Vps35,6.34,6.31,6.61,6.12
1415785_a_at,Cct8,12.21,12.23,12.25,12.15
1415786_at,Pgc,5.65,5.75,5.66,5.55
1415787_at,Ganab,9.08,8.96,9.18,9.11
1415788_at,Ublcp1,11.12,11.04,11.21,11.12
1415789_a_at,LOC100045709 or Ublcp1,8.28,8.36,8.28,8.19
1415790_at,Ublcp1,8.88,9.07,8.82,8.75
1415791_at,Rnf34,9.18,9.18,9.20,9.16
1415792_at,Rbck1,9.11,9.07,9.15,9.11
1415793_at,Pnpo,8.59,8.57,8.55,8.64
1415794_a_at,Spin1,8.73,8.71,8.80,8.68
1415795_at,Spin1,5.86,5.98,5.67,5.92
1415796_at,Dazap2,12.30,12.37,12.23,12.30
1415797_at,Ddr1,6.17,5.88,6.31,6.32
1415798_at,Ddr1,5.35,5.29,5.20,5.57
1415799_at,Wbp11,10.24,10.21,10.23,10.26
1415800_at,Gja1,9.92,9.83,10.07,9.87
1415801_at,Gja1,5.47,5.29,5.74,5.38
1415802_at,Slc16a1,11.89,11.80,11.97,11.89
1415803_at,Cx3cl1,5.47,5.45,5.44,5.52
1415804_at,Cx3cl1,6.31,6.31,6.24,6.37
1415805_at,Clps,4.97,5.05,4.91,4.97
1415806_at,Plat,5.64,5.65,5.57,5.71
1415807_s_at,Srsf2,8.56,8.52,8.50,8.67
1415808_at,Tpbpa,3.81,3.89,3.93,3.61
1415809_at,Tpbpa,3.60,3.56,3.75,3.51
1415810_at,Uhrf1,11.17,11.19,11.13,11.20
1415811_at,Uhrf1,9.65,9.70,9.54,9.71
1415812_at,Gsn,6.80,6.85,6.89,6.66
1415813_at,Api5,10.45,10.45,10.44,10.46
1415814_at,Atp6v1b2,10.79,10.85,10.83,10.69
1415815_at,Trim27,4.45,4.39,4.64,4.33
1415816_at,Cct7,12.83,12.87,12.78,12.83
1415817_s_at,Cct7,12.53,12.57,12.46,12.55
1415818_at,Anxa6,6.24,6.13,6.34,6.25
1415819_a_at,Ppp2r1a,9.95,10.01,9.87,9.97
1415820_x_at,Nono,12.02,11.95,12.11,11.99
1415821_at,Nptn,11.36,11.35,11.38,11.34
1415822_at,Scd2,10.24,10.06,10.31,10.34
1415823_at,Scd2,6.93,6.75,7.01,7.03
1415824_at,Scd2,4.78,4.86,4.50,4.99
1415825_s_at,Csnk1d,9.48,9.45,9.51,9.50
1415826_at,Atp6v1h,9.61,9.63,9.54,9.65
1415827_a_at,Serp1,10.96,11.01,10.92,10.94
1415828_a_at,Serp1,10.18,10.15,10.17,10.22
1415829_at,Lbr,11.51,11.50,11.54,11.50
1415830_at,Orc5,10.05,10.07,10.04,10.03
1415831_at,Psmd2,12.07,12.00,12.15,12.05
1415832_at,Agtr2,3.49,3.36,3.50,3.61
1415833_x_at,Rps29,13.36,13.40,13.31,13.38
1415834_at,Dusp6,7.30,7.54,7.22,7.13
1415835_at,Prl3b1,3.88,4.06,4.14,3.45
1415836_at,Aldh18a1,7.77,7.77,7.73,7.79
1415837_at,Klk1,3.91,4.09,4.02,3.62
1415838_at,Serinc1,9.06,9.14,9.10,8.95
1415839_a_at,Npm1,12.94,12.77,13.03,13.00
1415840_at,Elovl5,10.61,10.57,10.58,10.69
1415841_at,Dync1i2,10.23,10.07,10.39,10.22
1415842_at,Mlst8,7.87,7.83,8.03,7.74
1415843_at,Mlst8,6.23,6.29,6.16,6.23
1415844_at,Syt4,3.15,3.14,3.14,3.17
1415845_at,Syt4,4.36,4.33,4.34,4.42
1415846_a_at,Ldhc,3.90,4.03,3.72,3.95
1415847_at,Ldhc,4.49,4.38,4.48,4.61
1415848_at,Prl3d1,6.88,6.92,6.85,6.87
1415849_s_at,Stmn1,13.59,13.63,13.56,13.56
1415850_at,Rasa3,7.90,8.04,7.78,7.87
1415851_a_at,Impdh2,12.93,12.94,12.91,12.95
1415852_at,Impdh2,12.58,12.62,12.55,12.56
1415853_at,Def8,9.26,9.47,9.14,9.16
1415854_at,Kitl,4.27,4.44,4.05,4.32
1415855_at,Kitl,4.42,4.72,4.25,4.28
1415856_at,Emb,6.45,6.90,6.27,6.17
1415857_at,Emb,6.59,6.91,6.47,6.38
1415858_at,Eif3c,11.35,11.30,11.39,11.37
1415859_at,Eif3c,8.65,8.73,8.52,8.71
1415860_at,Kpna2,11.82,11.83,11.89,11.75
1415861_at,Tyrp1,3.90,3.72,3.92,4.05
1415862_at,Tyrp1,4.72,4.66,4.88,4.63
1415863_at,Eif4g2,11.40,11.22,11.61,11.38
1415864_at,Bpgm,8.54,8.56,8.42,8.63
1415865_s_at,Bpgm,8.67,8.78,8.57,8.66
1415866_at,Unc45a,7.20,7.30,7.14,7.15
1415867_at,Cct4,12.39,12.38,12.38,12.41
1415868_at,Cct4,5.56,5.74,5.44,5.50
1415869_a_at,Trim28,10.81,10.76,10.82,10.85
1415870_at,Calu,10.10,10.14,10.08,10.08
1415871_at,Tgfbi,4.25,4.13,4.49,4.15
1415872_at,Hnrnph1,12.46,12.45,12.50,12.42
1415873_a_at,Actr1a,10.56,10.49,10.56,10.62
1415874_at,Spry1,6.54,6.59,6.56,6.46
1415875_at,3010003L21Rik,4.92,5.07,4.86,4.82
1415876_a_at,Rps26,12.99,12.99,12.99,12.98
1415877_at,Dpysl3,4.57,4.44,4.66,4.61
1415878_at,Rrm1,12.75,12.75,12.82,12.68
1415879_a_at,Rplp2,13.26,13.26,13.23,13.28
1415880_a_at,Lamp1,11.20,11.23,11.18,11.20
1415881_at,Ghitm,9.60,9.55,9.62,9.63
1415882_at,Ghitm,11.68,11.73,11.68,11.62
1415883_a_at,Cela3b,4.78,4.42,4.80,5.11
1415884_at,Cela3b,6.92,6.96,6.92,6.88
